IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,182765,2020-03-18T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,182766,2020-03-19T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,M,1,0,182767,2020-03-20T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,182768,2020-03-15T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,182769,2020-03-18T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A60-A79,W,1,0,182770,2020-03-20T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Dithmarschen,A80+,M,1,0,182771,2020-03-23T00:00:00.000Z,01051,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A00-A04,M,2,0,182772,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A05-A14,M,1,0,182773,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,182774,2020-03-11T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,182775,2020-03-18T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,182776,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,M,1,0,182777,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,182778,2020-03-02T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,182779,2020-03-10T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,182780,2020-03-11T00:00:00.000Z,01053,24.03.2020 00:00
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,182781,2020-03-16T00:00:00.000Z,01053,24.03.2020 00:00
